stadiumXcourse,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
8|5,1,1,1,0.10366068527265156,1.0,9.64685885849364,7.2,7.2,0.2698659487840541,0.9999999999999999,9.64685885849364,9.64685885849364,7.2,7.2
15|6,1,1,1,0.1083849562641183,1.0,9.226372685551915,6.9,6.9,0.2698659487840541,0.9999999999999999,9.226372685551915,9.226372685551915,6.9,6.900000000000001
24|6,2,2,2,0.11726250811631302,1.0,8.527874902761734,6.4,6.4,0.4250306090063464,1.0,8.019130210241263,9.10554313098009,6.0,6.8
10|6,3,2,2,0.14023411543313158,0.6666666666666666,4.753954946038477,5.566666666666666,3.711111111111111,0.25353386828122415,0.9217342736662716,4.046963866672624,5.760251689332176,3.1,4.3
13|5,2,1,1,0.10385192182101682,0.5,4.814547398186073,7.199999999999999,3.5999999999999996,0.12086631942227366,0.8791336805777263,4.814547398186073,4.814547398186073,3.5999999999999996,3.5999999999999996
2|5,2,1,1,0.1083345103603437,0.5,4.615334470399999,6.9,3.45,0.12086631942227366,0.8791336805777263,4.615334470399999,4.615334470399999,3.4499999999999997,3.45
9|5,2,1,1,0.11231038669032346,0.5,4.451947987488137,6.65,3.325,0.12086631942227366,0.8791336805777263,4.451947987488137,4.451947987488138,3.3249999999999997,3.325
22|4,2,1,1,0.11536032306955338,0.5,4.33424583683368,6.5,3.25,0.12086631942227366,0.8791336805777263,4.334245836833679,4.33424583683368,3.25,3.25
9|6,2,2,1,0.12057490545378372,0.5,4.146799851248066,6.199999999999999,3.0999999999999996,0.12086631942227366,0.8791336805777263,0.0,8.152515043458786,0.0,6.1
24|4,2,2,1,0.12964651806423572,0.5,3.8566404055083527,5.85,2.925,0.12086631942227366,0.8791336805777263,0.0,8.847065952318165,0.0,6.6
2|6,2,2,1,0.15020054272783262,0.5,3.328882778446502,4.949999999999999,2.4749999999999996,0.12086631942227366,0.8791336805777263,0.0,6.2565104537151655,0.0,4.6
4|3,5,4,2,0.1237267080223439,0.4,3.2329317282713426,6.119999999999999,2.448,0.1427064720192131,0.7275168281338071,0.0,6.052697130097498,0.0,4.533333333333333
17|4,3,3,1,0.11611238325206746,0.3333333333333333,2.870781944159243,6.5,2.1666666666666665,0.07826572633372841,0.7464661317187758,0.0,8.145528848529317,0.0,6.1
6|4,10,9,3,0.1066915140125215,0.3,2.8118449979516784,7.030000000000001,2.1090000000000004,0.1268765839031979,0.5583002041301649,0.7888001918587424,4.703258740964324,0.5909027777777777,3.52525
14|4,4,4,1,0.11180656925432357,0.25,2.236004571711089,6.7250000000000005,1.6812500000000001,0.0579073211998587,0.6438319914014936,0.0,6.410197897666358,0.0,4.8
13|3,27,27,7,0.11818569154486774,0.25925925925925924,2.193660297370555,6.425925925925925,1.665980795610425,0.14712637677193505,0.41524486817468,1.0390464668561856,3.3764734730266412,0.7873649999999998,2.556517857142857
24|3,20,19,5,0.11545441857840115,0.25,2.165356710278122,6.549999999999999,1.6374999999999997,0.1273771685203577,0.4322017501601246,0.8247336152638232,3.570231492062582,0.6256689342403626,2.704624304267161
21|4,8,6,2,0.11761709029658209,0.25,2.125541444441471,6.5,1.625,0.08651484419906222,0.5398469545128194,0.0,4.669676495303547,0.0,3.525
19|3,17,16,4,0.12098398456875716,0.23529411764705882,1.9448369012291653,6.347058823529411,1.493425605536332,0.11031485367652369,0.43296087373664105,0.570100005976758,3.6345042545030504,0.44302120181405896,2.75556959502551
13|2,35,31,8,0.1204138162374062,0.22857142857142856,1.8982159665198246,6.348571428571428,1.4511020408163264,0.13389184123161108,0.3622034736885535,1.0345253804725558,2.738282458668864,0.7861371571279917,2.092222222222222
1|5,4,4,1,0.13703739612572952,0.25,1.8243195439194508,5.75,1.4375,0.0579073211998587,0.6438319914014936,0.0,5.92637556053477,0.0,4.533333333333333
1|4,9,8,2,0.11841406255987638,0.2222222222222222,1.8766539836419762,6.444444444444444,1.4320987654320985,0.07649473755439642,0.49635721762324614,0.0,4.1439305698576225,0.0,3.183333333333333
19|4,5,4,1,0.10542499327336805,0.2,1.8970833555701354,7.100000000000001,1.4200000000000004,0.04596245388060399,0.5647074465784567,0.0,3.7866124199581535,0.0,2.8320000000000007
20|3,9,9,2,0.12181658809139471,0.2222222222222222,1.8242361381480876,6.255555555555556,1.3901234567901235,0.07649473755439642,0.49635721762324614,0.0,3.7827086256761735,0.0,2.8754166666666663
6|2,43,38,9,0.1193823119034777,0.20930232558139536,1.7532105237718907,6.448837209302326,1.3497566252028124,0.12604830014849003,0.3269720971451364,0.9627197747666836,2.711431744919572,0.7368833298927159,2.0844475331187047
8|2,39,28,8,0.11919773120047221,0.20512820512820512,1.720906959069641,6.420512820512821,1.3170282708744248,0.11964645131578355,0.32886810825791646,0.9260858278655036,2.58061402472874,0.707076237132793,1.975537852778979
11|4,5,4,1,0.11545228663645941,0.2,1.732317356604358,6.5200000000000005,1.3040000000000003,0.04596245388060399,0.5647074465784567,0.0,3.337103372608953,0.0,2.52
4|2,26,24,5,0.11151568209194204,0.19230769230769232,1.7244901228254084,6.742307692307694,1.296597633136095,0.09688672209491969,0.34572964830801434,0.6554504344637093,3.0007905157659107,0.4915292999916016,2.2534027777777776
22|3,16,15,3,0.11808561167249568,0.1875,1.587831043463801,6.43125,1.2058593750000002,0.07752937709440158,0.3878697424478543,0.40616621855168256,3.0698731890289563,0.30639083319278126,2.3361642857142857
23|2,75,65,14,0.12247722879605016,0.18666666666666668,1.5240928334319612,6.333333333333332,1.182222222222222,0.12405655042112779,0.2710959971218249,0.937403640675612,2.112462415193074,0.7289182277318641,1.6429002206508445
5|4,6,4,1,0.11052767561936437,0.16666666666666666,1.507917955685904,6.783333333333332,1.1305555555555553,0.03810557007934287,0.5024170841246,0.0,4.712901483449748,0.0,3.5250000000000004
11|3,17,13,3,0.12250635562412511,0.17647058823529413,1.4405014934632654,6.370588235294117,1.1242214532871972,0.07281446654706444,0.3689669780690258,0.379970657746731,2.5938881105151914,0.28986767485822307,2.0234461805555557
24|2,63,57,11,0.12086794583895616,0.1746031746031746,1.4445779928767466,6.319047619047619,1.1033257747543461,0.1098111824560182,0.2661927611283723,0.8066972395852948,2.119805201226202,0.6180386188271606,1.6166889893180902
12|4,6,5,1,0.118949929009245,0.16666666666666666,1.4011497783551685,6.349999999999999,1.0583333333333331,0.03810557007934287,0.5024170841246,0.0,2.9110807304065163,0.0,2.211111111111111
9|2,49,43,8,0.1184485823992262,0.16326530612244897,1.3783643739371214,6.436734693877551,1.0508954602249063,0.09452149800592387,0.26724906283737027,0.708457600557105,2.0801853345786014,0.5385407942885166,1.5823904875363486
20|2,26,25,4,0.1137206068055141,0.15384615384615385,1.3528432371915038,6.661538461538464,1.0248520710059175,0.07099934755477616,0.3019440691485246,0.3532828950371399,2.4605653206862232,0.2697920555555557,1.8646522734642939
10|2,62,54,10,0.12153336221021713,0.16129032258064516,1.32712795603943,6.275806451612903,1.0122268470343392,0.09892256229237473,0.2519831289673486,0.724473993170236,2.0889388130929887,0.5504140884294897,1.5900212103772904
