stadiumXmonth,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
3|2026-02,26,22,7,0.11809662712254526,0.2692307692307692,2.2797498606915902,6.41923076923077,1.7282544378698228,0.15308022164809826,0.4288820561541022,1.104264659909621,3.3948404382867503,0.8395122873345937,2.5709052631578944
3|2025-06,65,45,15,0.12751852444439823,0.23076923076923078,1.8096918214408357,6.06923076923077,1.4005917159763317,0.15662011633826928,0.32643550637111607,1.2056690943593333,2.4252477605259597,0.9355883401814783,1.867125144014049
19|2025-10,127,82,29,0.12722644300326802,0.2283464566929134,1.7948034331750353,6.071653543307086,1.3864405728811457,0.1731230396037943,0.29490278132482284,1.3903275110401199,2.190776900280243,1.077241794217687,1.6906226721786313
2|2025-10,72,51,16,0.12265811673079756,0.2222222222222222,1.8117204808381477,6.216666666666667,1.3814814814814815,0.15252777026658715,0.31203672989558695,1.2699923067655927,2.400385571127452,0.9662484636575546,1.8310045006224263
7|2025-10,187,119,42,0.13097481073761968,0.22459893048128343,1.7148253867777665,5.938502673796791,1.3337813491950012,0.17853483839189976,0.278518455230362,1.3886363911346804,2.0639632910928536,1.0783217670068026,1.6046747344856316
4|2025-05,40,30,8,0.11940968618947381,0.2,1.6749060011986732,6.409999999999999,1.282,0.11654735446233844,0.3214647147249364,0.8327927774616427,2.618512156916066,0.6355681789802288,2.0039223179668855
1|2025-12,107,62,22,0.12443028832850687,0.205607476635514,1.6523909041558453,6.154205607476635,1.2653506856494017,0.14898653431549963,0.2767489571060312,1.2003726532237777,2.1352393763872315,0.9192557138691488,1.632271762533318
1|2025-09,78,49,16,0.13063910078154914,0.20512820512820512,1.5701899653398141,5.952564102564103,1.2210387902695594,0.14042271846777324,0.289604042628701,1.1021623388360229,2.011058655551495,0.8540863404429729,1.569402306050391
5|2026-04,45,30,9,0.12623276346159903,0.2,1.5843747258281446,6.077777777777777,1.2155555555555555,0.12024821711239651,0.31377982145337924,0.8640302696473683,2.2679610509020867,0.6583887349953831,1.7445241684941521
4|2025-09,36,30,7,0.12410515973154942,0.19444444444444445,1.5667716383834902,6.230555555555556,1.2114969135802471,0.10900815688556029,0.3225978086503094,0.7430980723083529,2.441323825259519,0.5739895739614521,1.880031259830135
14|2025-09,79,50,15,0.12110246771175394,0.189873417721519,1.5678740599527048,6.284810126582278,1.1933183784649897,0.12803863368601687,0.27224685578594726,1.0852827688818483,2.0850833258462966,0.8254747040095513,1.5891213923684924
24|2026-02,115,65,24,0.13877486056444233,0.20869565217391303,1.5038433569673944,5.64608695652174,1.1783137996219284,0.15341784234200603,0.2773651264641346,1.1363586731348192,1.9066663632954632,0.8899059763677347,1.4955951672664363
2|2026-01,71,54,13,0.12457015700603896,0.18309859154929578,1.4698431466247526,6.2478873239436625,1.1439793691727833,0.11972602507774405,0.2697364509973903,0.9367098310388018,2.0571207930396866,0.7202928500415465,1.5997123640163935
17|2026-03,164,100,31,0.12839530777239647,0.18902439024390244,1.4722063720504632,6.039634146341464,1.1416381618084475,0.14393798082932216,0.24420474144261564,1.14287807726382,1.8159762544644846,0.8856825542266804,1.4073076924454953
14|2026-04,54,33,10,0.1257488520206902,0.18518518518518517,1.4726590518274916,6.068518518518518,1.1237997256515773,0.1140373562357838,0.2863739981228272,0.8708073377457369,2.128689524780541,0.6649300411522632,1.6258828694695517
20|2025-10,49,28,9,0.12822530112703803,0.1836734693877551,1.4324276704624956,6.079591836734694,1.1166597251145356,0.11011674031951929,0.2903343925938782,0.8299760107033037,2.049817382155793,0.6473922460472168,1.594975933470818
