stadiumXodds_band,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,mean_odds_low,mean_odds_high,ev_all_buy,ev_actual_low,ev_actual_high,ev_actual_corrected,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi,ev_corrected_boot_lo,ev_corrected_boot_hi
"5|[5,10)",1215,978,144,0.13102990598246025,0.11851851851851852,0.9045150237258316,6.225514403292181,6.225514403292181,16.598600823045267,0.7226337448559671,0.7226337448559671,1.5536625514403295,0.926235802469136,0.10410708095280682,0.13462513556440767,0.788730851392829,1.019753885914217,0.6291302318578742,0.8164620727541542,0.795696529635823,1.0651210281230485
"4|[5,10)",1051,874,124,0.1330308139652378,0.11798287345385347,0.8868837973485113,6.130542340627972,6.130542340627972,12.05176022835395,0.7028544243577546,0.7028544243577546,1.468315889628925,0.8903924833491914,0.10258819965733139,0.13533931720119347,0.767979100981691,1.006570339055944,0.609822831230575,0.7994456637403565,0.7547878568872988,1.0354648038753618
"8|[5,10)",1279,1024,147,0.13059615318722642,0.11493354182955434,0.8800683559551887,6.253792025019546,6.253792025019546,12.890695856137604,0.6892885066458171,0.6892885066458171,1.2494917904612979,0.8265383111806099,0.1010702450091579,0.13042250694890678,0.7718677773702284,0.9929241033909311,0.6029433104563564,0.7759260077608571,0.7227248381509793,0.9304065037740762
"3|[5,10)",1043,854,114,0.13180294635729245,0.10930009587727708,0.8292689875155411,6.1889741131351865,6.1889741131351865,10.965100671140938,0.6753595397890699,0.6753595397890699,1.2165867689357623,0.8079602109300095,0.0944080010790394,0.12621389855443327,0.7135408512503844,0.9501966699855634,0.5821182238640117,0.7724468340330735,0.6899467734818698,0.9291584814619251
"2|[5,10)",1150,968,126,0.1318425788532761,0.10956521739130434,0.8310305998583082,6.185478260869566,6.185478260869566,11.538347826086955,0.6676521739130434,0.6676521739130434,1.2919130434782606,0.8205960869565216,0.09532157510621989,0.12564165778573558,0.721525239463601,0.9426971268549371,0.5808449002065551,0.7574615601531656,0.7024092932584045,0.9448507660915965
"1|[1,5)",6738,2254,1705,0.3104880473572643,0.25304244582962304,0.8149828889820636,2.8238201246660726,2.8238201246660726,5.037830216681508,0.6538438705847432,0.6538438705847432,1.1471950133570792,0.7747149005639655,0.24443098261367152,0.2618521536921676,0.7941822979630315,0.8365910510670451,0.6347257930852425,0.6736493305206182,0.7513029317776839,0.7995462184038692
"4|[1,5)",5713,1925,1461,0.31373662151338017,0.2557325398214598,0.8151185493994153,2.7881148258358133,2.7881148258358133,5.222597584456503,0.6489760196044111,0.6489760196044111,1.1782951164011903,0.778659198319622,0.2463556325407037,0.2653406963234749,0.7910793579954376,0.8370516044838108,0.627607679062767,0.6686914598687038,0.7517742615174311,0.8041788226721439
"13|[5,10)",1102,887,117,0.13135929152079684,0.10617059891107078,0.808245824729207,6.20961887477314,6.20961887477314,12.452813067150636,0.6472776769509981,0.6472776769509981,1.3176950998185117,0.811529945553539,0.0918594372722069,0.12241082221611381,0.6903022014562727,0.9283575489132748,0.55307698278777,0.746349676445742,0.689852523732504,0.9401222727608555
"5|[1,5)",5565,1988,1388,0.3096503356229485,0.24941599281221924,0.8054762553718826,2.8354537286612755,2.8354537286612755,5.937663971248877,0.6437196765498653,0.6437196765498653,1.3437915543575922,0.8152372866127584,0.23999912342414825,0.2590763973208373,0.7806915535709329,0.8296808376399557,0.6215713350081157,0.6665812583868801,0.7615732460898536,0.8803382401838633
"12|[5,10)",1390,1113,146,0.13222307600721964,0.10503597122302158,0.7943845688273536,6.1707913669064745,6.1707913669064745,11.556258992805754,0.6433093525179856,0.6433093525179856,1.1428776978417265,0.7657035971223021,0.09226793529075697,0.11933856318212654,0.6938499270023123,0.8957102489771327,0.5615461469648063,0.7270714808964703,0.6676306556161299,0.8643661245860408
