race_id,race_date,stadium_id,actual_combo,bets_placed,amount_wagered,payout_received,profit,matched,matched_combo,matched_ev,matched_odds,top_ev,top_combo,top_prob,n_alerts,odds_source,bet_type
012025050101,2025-05-01,1,1-4-5,0,0,0.0,0.0,False,,0.0,0.0,49.216398175939645,6-4-5,0.018412419818907462,0,real,trifecta
012025050102,2025-05-01,1,1-4-3,0,0,0.0,0.0,False,,0.0,0.0,75.35236216451051,6-5-3,0.03547663002095598,0,real,trifecta
012025050103,2025-05-01,1,4-6-1,0,0,0.0,0.0,False,,0.0,0.0,18.104139180523855,6-3-4,0.04225003309340456,0,real,trifecta
012025050104,2025-05-01,1,1-2-4,0,0,0.0,0.0,False,,0.0,0.0,8.802621401913386,4-5-2,0.04799684515765205,0,real,trifecta
012025050105,2025-05-01,1,4-3-1,3,300,0.0,-300.0,False,,0.0,0.0,33.700714263382736,1-3-2,0.13943199943476514,3,real,trifecta
012025050106,2025-05-01,1,4-1-6,1,100,0.0,-100.0,False,,0.0,0.0,39.9335214003931,2-1-6,0.04886627679930628,1,real,trifecta
012025050107,2025-05-01,1,3-6-4,1,100,0.0,-100.0,False,,0.0,0.0,24.325547573798563,6-3-2,0.03905209114432263,1,real,trifecta
012025050108,2025-05-01,1,5-1-4,1,100,0.0,-100.0,False,,0.0,0.0,28.118472806893642,2-3-1,0.02632815805888918,1,real,trifecta
012025050109,2025-05-01,1,1-2-3,4,400,0.0,-400.0,False,,0.0,0.0,355.3001305689932,6-4-3,0.218511765417585,4,real,trifecta
012025050110,2025-05-01,1,1-6-5,4,400,0.0,-400.0,False,,0.0,0.0,160.90979578383892,4-6-2,0.2041743380076626,4,real,trifecta
012025050111,2025-05-01,1,1-4-2,0,0,0.0,0.0,False,,0.0,0.0,63.917648523182606,3-5-4,0.04295540895375175,0,real,trifecta
012025050112,2025-05-01,1,1-6-2,5,500,0.0,-500.0,False,,0.0,0.0,75.34677576253672,3-6-2,0.15548240974522642,5,real,trifecta
052025050101,2025-05-01,5,1-2-3,1,100,0.0,-100.0,False,,0.0,0.0,55.89401967526637,4-3-5,0.05400388374421872,1,real,trifecta
052025050102,2025-05-01,5,1-4-3,4,400,0.0,-400.0,False,,0.0,0.0,133.27155055612081,6-4-5,0.11649611062597973,4,real,trifecta
052025050103,2025-05-01,5,3-1-4,3,300,0.0,-300.0,False,,0.0,0.0,212.09792533423644,6-4-2,0.02706020991761118,3,real,trifecta
052025050104,2025-05-01,5,1-3-4,2,200,0.0,-200.0,False,,0.0,0.0,74.73980883618013,4-2-5,0.12610057168243652,2,real,trifecta
