race_id,race_date,stadium_id,actual_combo,bets_placed,amount_wagered,payout_received,profit,matched,matched_combo,matched_ev,matched_odds,top_ev,top_combo,top_prob,n_alerts,odds_source,bet_type
012025050101,2025-05-01,1,1-4-5,0,0.0,0.0,0.0,False,,0.0,0.0,57.1,1-4-5,1.0,0,real,trifecta
012025050102,2025-05-01,1,1-4-3,0,0.0,0.0,0.0,False,,0.0,0.0,24.8,1-4-3,1.0,0,real,trifecta
012025050103,2025-05-01,1,4-6-1,0,0.0,0.0,0.0,False,,0.0,0.0,55.4,4-6-1,1.0,0,real,trifecta
012025050104,2025-05-01,1,1-2-4,0,0.0,0.0,0.0,False,,0.0,0.0,70.7,1-2-4,1.0,0,real,trifecta
012025050105,2025-05-01,1,4-3-1,0,0.0,0.0,0.0,False,,0.0,0.0,18.0,4-3-1,1.0,0,real,trifecta
012025050106,2025-05-01,1,4-1-6,0,0.0,0.0,0.0,False,,0.0,0.0,43.3,4-1-6,1.0,0,real,trifecta
012025050107,2025-05-01,1,3-6-4,0,0.0,0.0,0.0,False,,0.0,0.0,54.3,3-6-4,1.0,0,real,trifecta
012025050108,2025-05-01,1,5-1-4,0,0.0,0.0,0.0,False,,0.0,0.0,7.1,5-1-4,1.0,0,real,trifecta
012025050109,2025-05-01,1,1-2-3,0,0.0,0.0,0.0,False,,0.0,0.0,11.8,1-2-3,1.0,0,real,trifecta
012025050110,2025-05-01,1,1-6-5,0,0.0,0.0,0.0,False,,0.0,0.0,38.8,1-6-5,1.0,0,real,trifecta
012025050111,2025-05-01,1,1-4-2,0,0.0,0.0,0.0,False,,0.0,0.0,8.9,1-4-2,1.0,0,real,trifecta
012025050112,2025-05-01,1,1-6-2,0,0.0,0.0,0.0,False,,0.0,0.0,19.0,1-6-2,1.0,0,real,trifecta
052025050101,2025-05-01,5,1-2-3,0,0.0,0.0,0.0,False,,0.0,0.0,6.3,1-2-3,1.0,0,real,trifecta
052025050102,2025-05-01,5,1-4-3,1,100.0,14250.0,14150.0,True,1-4-3,142.5,142.5,142.5,1-4-3,1.0,1,real,trifecta
052025050103,2025-05-01,5,3-1-4,0,0.0,0.0,0.0,False,,0.0,0.0,10.9,3-1-4,1.0,0,real,trifecta
052025050104,2025-05-01,5,1-3-4,0,0.0,0.0,0.0,False,,0.0,0.0,17.4,1-3-4,1.0,0,real,trifecta
052025050105,2025-05-01,5,1-4-5,0,0.0,0.0,0.0,False,,0.0,0.0,7.2,1-4-5,1.0,0,real,trifecta
052025050106,2025-05-01,5,3-5-4,1,100.0,13880.000000000002,13780.000000000002,True,3-5-4,138.8,138.8,138.8,3-5-4,1.0,1,real,trifecta
052025050107,2025-05-01,5,1-6-4,1,100.0,50690.0,50590.0,True,1-6-4,506.9,506.9,506.9,1-6-4,1.0,1,real,trifecta
052025050108,2025-05-01,5,5-1-4,0,0.0,0.0,0.0,False,,0.0,0.0,21.7,5-1-4,1.0,0,real,trifecta
052025050109,2025-05-01,5,1-5-3,0,0.0,0.0,0.0,False,,0.0,0.0,22.2,1-5-3,1.0,0,real,trifecta
052025050110,2025-05-01,5,6-2-5,1,100.0,347400.0,347300.0,True,6-2-5,3474.0,3474.0,3474.0,6-2-5,1.0,1,real,trifecta
052025050111,2025-05-01,5,2-4-3,1,100.0,12250.0,12150.0,True,2-4-3,122.5,122.5,122.5,2-4-3,1.0,1,real,trifecta
052025050112,2025-05-01,5,1-2-3,0,0.0,0.0,0.0,False,,0.0,0.0,6.2,1-2-3,1.0,0,real,trifecta
072025050101,2025-05-01,7,3-5-6,1,100.0,17570.0,17470.0,True,3-5-6,175.7,175.7,175.7,3-5-6,1.0,1,real,trifecta
072025050102,2025-05-01,7,6-1-4,1,100.0,67660.0,67560.0,True,6-1-4,676.6,676.6,676.6,6-1-4,1.0,1,real,trifecta
